am.or                V      1 1 PRES PASSIVE IND 1 S    
dux                  N      3 1 VOC S M                 
legio                N      3 1 NOM S F                 
legio                N      3 1 VOC S F                 
host.is              V      4 1 PRES ACTIVE  IND 2 S    
hostis               N      3 3 NOM S C                 
hostis               N      3 3 VOC S C                 
host.is              N      3 3 GEN S C                 
host.is              N      3 3 NOM P C                   Early     uncommon
host.is              N      3 3 ACC P C                   Early   
amic.us              N      2 1 NOM S M                 
amic.us              ADJ    1 1 NOM S M POS             
civis                N      3 3 NOM S C                 
civis                N      3 3 VOC S C                 
civ.is               N      3 3 GEN S C                 
civ.is               N      3 3 ACC P C                   Early   
gladi.us             N      2 1 NOM S M                 
gladi.us             N      2 4 NOM S M                 
arc.us               N      4 1 NOM S M                 
arc.us               N      4 1 VOC S M                 
arc.us               N      4 1 GEN S M                 
arc.us               N      4 1 NOM P M                 
arc.us               N      4 1 VOC P M                 
arc.us               N      4 1 ACC P M                 
sagitt.a             N      1 1 NOM S F                 
sagitt.a             N      1 1 VOC S F                 
sagitt.a             N      1 1 ABL S F                 
sagitt.a             V      1 1 PRES ACTIVE  IMP 2 S    
equ.us               N      2 1 NOM S M                 
carmen               N      3 2 NOM S N                 
carmen               N      3 2 VOC S N                 
carmen               N      3 2 ACC S N                 
verb.um              N      2 2 NOM S N                 
verb.um              N      2 2 VOC S N                 
verb.um              N      2 2 ACC S N                 
ars                  N      3 3 NOM S F                 
ars                  N      3 3 VOC S F                 
virtus               N      3 1 NOM S F                 
virtus               N      3 1 VOC S F                 
lux                  N      3 1 NOM S F                 
lux                  N      3 1 VOC S F                 
verit.as             VPAR   2 1 ACC P F PERF         PPL
veritas              N      3 1 NOM S F                 
veritas              N      3 1 VOC S F                 
pax                  N      3 1 NOM S F                 
pax                  N      3 1 VOC S F                 
flos                 N      3 1 NOM S M                 
flos                 N      3 1 VOC S M                 
hort.us              N      2 1 NOM S M                 
agricol.a            N      1 1 NOM S M                 
agricol.a            N      1 1 VOC S M                 
agricol.a            N      1 1 ABL S M                 
magister             N      2 3 NOM S M                 
magister             N      2 3 VOC S M                 
senex                N      3 1 NOM S M                 
senex                N      3 1 VOC S M                 
senex                ADJ    3 1 NOM S X POS             
senex                ADJ    3 1 VOC S X POS             
senex                ADJ    3 1 ACC S N POS             
av.is                N      1 1 LOC P F                 
av.is                N      1 1 DAT P F                 
av.is                N      1 1 ABL P F                 
av.is                N      2 1 LOC P M                 
av.is                N      2 1 DAT P M                 
av.is                N      2 1 ABL P M                 
av.is                N      2 6 LOC P M                 
av.is                N      2 6 DAT P M                 
av.is                N      2 6 ABL P M                 
avis                 N      3 3 NOM S F                 
avis                 N      3 3 VOC S F                 
av.is                N      3 3 GEN S F                 
av.is                N      3 3 ACC P F                   Early   
leo                  N      3 1 NOM S M                 
leo                  N      3 1 VOC S M                 
candidat.us          VPAR   1 1 NOM S M PERF PASSIVE PPL
candidat.us          N      2 1 NOM S M                 
candidat.us          N      4 1 NOM S M                 
candidat.us          N      4 1 VOC S M                 
candidat.us          N      4 1 GEN S M                 
candidat.us          N      4 1 NOM P M                 
candidat.us          N      4 1 VOC P M                 
candidat.us          N      4 1 ACC P M                 
candidat.us          ADJ    1 1 NOM S M POS             
spectacul.um         N      2 2 NOM S N                 
spectacul.um         N      2 2 VOC S N                 
spectacul.um         N      2 2 ACC S N                 
fabul.a              N      1 1 NOM S F                 
fabul.a              N      1 1 VOC S F                 
fabul.a              N      1 1 ABL S F                 
fabul.a              V      1 1 PRES ACTIVE  IMP 2 S    
nav.is               ADJ    1 1 DAT P X POS             
nav.is               ADJ    1 1 ABL P X POS             
navis                N      3 3 NOM S F                 
navis                N      3 3 VOC S F                 
nav.is               N      3 3 GEN S F                 
nav.is               N      3 3 ACC P F                   Early   
proeli.um            N      2 4 NOM S N                 
proeli.um            N      2 4 VOC S N                 
proeli.um            N      2 4 ACC S N                 
oratio               N      3 1 NOM S F                 
oratio               N      3 1 VOC S F                 
tempestas            N      3 1 NOM S F                 
tempestas            N      3 1 VOC S F                 
turris               N      3 3 NOM S F                 
turris               N      3 3 VOC S F                 
turr.is              N      3 3 GEN S F                 
turr.is              N      3 3 ACC P F                   Early   
scut.um              N      2 2 NOM S N                 
scut.um              N      2 2 VOC S N                 
scut.um              N      2 2 ACC S N                 
spati.um             N      2 4 NOM S N                 
spati.um             N      2 4 VOC S N                 
spati.um             N      2 4 ACC S N                 
sermo                N      3 1 NOM S M                 
sermo                N      3 1 VOC S M                 
benefici.um          N      2 4 NOM S N                 
benefici.um          N      2 4 VOC S N                 
benefici.um          N      2 4 ACC S N                 
glori.a              N      1 1 NOM S F                 
glori.a              N      1 1 VOC S F                 
glori.a              N      1 1 ABL S F                 
imago                N      3 1 NOM S F                 
imago                N      3 1 VOC S F                 
mod.us               N      2 1 NOM S M                 
exempl.um            N      2 2 NOM S N                 
exempl.um            N      2 2 VOC S N                 
exempl.um            N      2 2 ACC S N                 
fortun.a             N      1 1 NOM S F                 
fortun.a             N      1 1 VOC S F                 
fortun.a             N      1 1 ABL S F                 
fortun.a             V      1 1 PRES ACTIVE  IMP 2 S    
cael.um              N      2 1 ACC S M                 
cael.um              N      2 2 NOM S N                 
cael.um              N      2 2 VOC S N                 
cael.um              N      2 2 ACC S N                 
corpus               N      3 2 NOM S N                 
corpus               N      3 2 VOC S N                 
corpus               N      3 2 ACC S N                 
culp.a               N      1 1 NOM S F                 
culp.a               N      1 1 VOC S F                 
culp.a               N      1 1 ABL S F                 
culp.a               V      1 1 PRES ACTIVE  IMP 2 S    
gen.us               N      4 2 GEN S N                 
genus                N      3 2 NOM S N                 
genus                N      3 2 VOC S N                 
genus                N      3 2 ACC S N                 
gens                 N      3 3 NOM S F                 
gens                 N      3 3 VOC S F                 
iter                 N      3 2 NOM S N                 
iter                 N      3 2 VOC S N                 
iter                 N      3 2 ACC S N                 
loc.us               N      2 1 NOM S M                 
mors                 N      3 3 NOM S F                 
mors                 N      3 3 VOC S F                 
odi.um               N      2 4 NOM S N                 
odi.um               N      2 4 VOC S N                 
odi.um               N      2 4 ACC S N                 
plebs                N      3 1 NOM S F                 
plebs                N      3 1 VOC S F                 
praemi.um            N      2 4 NOM S N                 
praemi.um            N      2 4 VOC S N                 
praemi.um            N      2 4 ACC S N                 
studi.um             N      2 4 NOM S N                 
studi.um             N      2 4 VOC S N                 
studi.um             N      2 4 ACC S N                 
urbs                 N      3 3 NOM S F                 
urbs                 N      3 3 VOC S F                 
virtus               N      3 1 NOM S F                 
virtus               N      3 1 VOC S F                 
vulnus               N      3 2 NOM S N                 
vulnus               N      3 2 VOC S N                 
vulnus               N      3 2 ACC S N                 
dol.or               V      1 1 PRES PASSIVE IND 1 S    
dolor                N      3 1 NOM S M                 
dolor                N      3 1 VOC S M                 
imperi.um            N      2 4 NOM S N                 
imperi.um            N      2 4 VOC S N                 
imperi.um            N      2 4 ACC S N                 
fid.es               N      5 1 NOM S F                 
fid.es               N      5 1 VOC S F                 
fid.es               N      5 1 NOM P F                 
fid.es               N      5 1 VOC P F                 
fid.es               N      5 1 ACC P F                 
fid.es               V      3 1 FUT  ACTIVE  IND 2 S    
fides                N      3 3 NOM S F                 
fides                N      3 3 VOC S F                 
fid.es               N      3 3 NOM P F                 
fid.es               N      3 3 VOC P F                 
fid.es               N      3 3 ACC P F                 
fid.es               N      3 3 NOM P F                 
fid.es               N      3 3 VOC P F                 
fid.es               N      3 3 ACC P F                 
salus                N      3 1 NOM S F                 
salus                N      3 1 VOC S F                 
